year,week,challenge,weeks ago,guitar,piano,ukulele,bass,voice
2015,36,india - ragas tablas and masala,186,TRUE,FALSE,FALSE,FALSE,FALSE
2015,35,"skate punk party - ollies, fakies and rock'n'roll",187,TRUE,FALSE,FALSE,FALSE,FALSE
2015,34,at the movies part 2 - the challenge returns,188,TRUE,FALSE,FALSE,FALSE,FALSE
2015,33,bluegrass - the grass is always bluer on the banjo side,189,TRUE,FALSE,FALSE,FALSE,FALSE
2015,32,dance through the 90's,190,TRUE,FALSE,FALSE,FALSE,FALSE
2015,31,at the movies - popcorn & power chords,191,TRUE,FALSE,FALSE,FALSE,FALSE
2015,30,reggae party - tune up stand up,192,TRUE,FALSE,FALSE,FALSE,FALSE
2015,29,soul - strum rattle & roll,193,TRUE,FALSE,FALSE,FALSE,FALSE
2015,28,kung fu challenge - riffs of fury,194,TRUE,FALSE,FALSE,FALSE,FALSE
2015,27,groove metal - vulgar display of skills,195,TRUE,FALSE,FALSE,FALSE,FALSE
2015,26,steampunk challenge - songs of future past,196,TRUE,FALSE,FALSE,FALSE,FALSE
2015,25,"the singer-song-writer - just you, your feelings and your guitar",197,TRUE,FALSE,FALSE,FALSE,FALSE
2015,24,the challenge of doom,198,TRUE,FALSE,FALSE,FALSE,FALSE
2015,23,electro swing,199,TRUE,FALSE,FALSE,FALSE,FALSE
2015,22,barock - powder your wigs and practice your licks,200,TRUE,FALSE,FALSE,FALSE,FALSE
2015,21,drivin' - songs for the road,201,TRUE,FALSE,FALSE,FALSE,FALSE
2015,20,fusion - are you a musical chameleon?,202,TRUE,FALSE,FALSE,FALSE,FALSE
2015,19,flamenco challenge - fire and passion on the fretboard,203,TRUE,FALSE,FALSE,FALSE,FALSE
2015,18,nordic folk - two songs of ice and steel,204,TRUE,FALSE,FALSE,FALSE,FALSE
2015,17,ska - can you play the heavy heavy monster sound?,205,TRUE,FALSE,FALSE,FALSE,FALSE
2015,16,get experienced - but don't play with your teeth,206,TRUE,FALSE,FALSE,FALSE,FALSE
2015,15,blues form workout - blues beyond three chords,207,TRUE,FALSE,FALSE,FALSE,FALSE
2015,14,prog metal - try to wrap your head around,208,TRUE,FALSE,FALSE,FALSE,FALSE
2015,13,earth hour - take a candlelight moment with your guitar,209,TRUE,FALSE,FALSE,FALSE,FALSE
2015,12,j.s. bach goes metal,210,TRUE,FALSE,FALSE,FALSE,FALSE
2015,11,attitude rock,211,TRUE,FALSE,FALSE,FALSE,FALSE
2015,10,sound of the future - today - time to boldly take the 2050's challenge...,212,TRUE,FALSE,FALSE,FALSE,FALSE
